state,district,key,year,season,rain_mm,n_days,rain_normal_mm,rain_anom_mm,rain_anom_pct
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2018-2019,Rabi,26.89,182,120.24,-93.35,-77.64
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2019-2020,Rabi,286.29,183,120.24,166.05,138.1
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2020-2021,Rabi,189.05,182,120.24,68.81,57.22
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2021-2022,Rabi,210.08,182,120.24,89.84,74.72
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2022-2023,Rabi,207.26,182,120.24,87.02,72.37
MIZORAM,AIZAWL,aizawl,1997-1998,Annual,2536.68,365,2381.0,155.68,6.54
MIZORAM,AIZAWL,aizawl,1998-1999,Annual,2545.36,365,2381.0,164.36,6.9
MIZORAM,AIZAWL,aizawl,1999-2000,Annual,2675.52,365,2381.0,294.52,12.37
MIZORAM,AIZAWL,aizawl,2000-2001,Annual,3410.33,366,2381.0,1029.32,43.23
MIZORAM,AIZAWL,aizawl,2001-2002,Annual,2845.72,365,2381.0,464.72,19.52
MIZORAM,AIZAWL,aizawl,2002-2003,Annual,2282.39,365,2381.0,-98.61,-4.14
MIZORAM,AIZAWL,aizawl,2003-2004,Annual,2639.21,365,2381.0,258.21,10.84
MIZORAM,AIZAWL,aizawl,2004-2005,Annual,3162.17,366,2381.0,781.17,32.81
MIZORAM,AIZAWL,aizawl,2005-2006,Annual,2630.7,365,2381.0,249.7,10.49
MIZORAM,AIZAWL,aizawl,2006-2007,Annual,2132.58,365,2381.0,-248.42,-10.43
MIZORAM,AIZAWL,aizawl,2007-2008,Annual,2944.52,365,2381.0,563.52,23.67
MIZORAM,AIZAWL,aizawl,2008-2009,Annual,2099.02,366,2381.0,-281.99,-11.84
MIZORAM,AIZAWL,aizawl,2009-2010,Annual,1970.74,365,2381.0,-410.26,-17.23
MIZORAM,AIZAWL,aizawl,2010-2011,Annual,2919.02,365,2381.0,538.02,22.6
MIZORAM,AIZAWL,aizawl,2011-2012,Annual,2309.75,365,2381.0,-71.25,-2.99
MIZORAM,AIZAWL,aizawl,2012-2013,Annual,2788.78,366,2381.0,407.78,17.13
MIZORAM,AIZAWL,aizawl,2013-2014,Annual,1393.32,365,2381.0,-987.68,-41.48
MIZORAM,AIZAWL,aizawl,2014-2015,Annual,1464.32,365,2381.0,-916.68,-38.5
MIZORAM,AIZAWL,aizawl,2015-2016,Annual,2178.96,365,2381.0,-202.04,-8.49
MIZORAM,AIZAWL,aizawl,2016-2017,Annual,2644.71,366,2381.0,263.71,11.08
MIZORAM,AIZAWL,aizawl,2017-2018,Annual,3281.48,365,2381.0,900.48,37.82
MIZORAM,AIZAWL,aizawl,2018-2019,Annual,2371.99,365,2381.0,-9.02,-0.38
